AREA,PERIMETER,PR_,PR_ID,RINGS_OK,RINGS_NOK,PATH,ROW,MODE,SEQUENCE,WRSPR,PR,ACQDayL7,ACQDayL8
3.67783,7.9075,28,28,1,0,13,28,D,2260,013028,013028,1,9
3.58842,7.78504,29,29,1,0,13,29,D,2261,013029,013029,1,9
3.50545,7.67177,30,30,1,0,13,30,D,2262,013030,013030,1,9
3.42827,7.56683,31,31,1,0,13,31,D,2263,013031,013031,1,9
3.35638,7.46945,32,32,1,0,13,32,D,2264,013032,013032,1,9
3.28943,7.37898,33,33,1,0,13,33,D,2265,013033,013033,1,9
3.16907,7.21698,35,35,1,0,13,35,D,2267,013035,013035,1,9
3.11486,7.14428,36,36,1,0,13,36,D,2268,013036,013036,1,9
3.87776,8.18344,274,274,1,0,29,26,D,2506,029026,029026,1,9
3.77398,8.0399,275,275,1,0,29,27,D,2507,029027,029027,1,9
3.67789,7.90757,276,276,1,0,29,28,D,2508,029028,029028,1,9
3.58842,7.78504,277,277,1,0,29,29,D,2509,029029,029029,1,9
3.5056,7.67197,278,278,1,0,29,30,D,2510,029030,029030,1,9
3.42827,7.56683,279,279,1,0,29,31,D,2511,029031,029031,1,9
3.35644,7.46952,280,280,1,0,29,32,D,2512,029032,029032,1,9
3.28943,7.37898,281,281,1,0,29,33,D,2513,029033,029033,1,9
3.22689,7.29463,282,282,1,0,29,34,D,2514,029034,029034,1,9
3.1691,7.21707,283,283,1,0,29,35,D,2515,029035,029035,1,9
3.11456,7.14388,284,284,1,0,29,36,D,2516,029036,029036,1,9
3.06431,7.07666,285,285,1,0,29,37,D,2517,029037,029037,1,9
3.01764,7.01432,286,286,1,0,29,38,D,2518,029038,029038,1,9
2.97366,6.95568,287,287,1,0,29,39,D,2519,029039,029039,1,9
2.93301,6.90152,288,288,1,0,29,40,D,2520,029040,029040,1,9
3.87718,8.18263,522,522,1,0,45,26,D,2754,045026,045026,1,9
3.77487,8.04108,523,523,1,0,45,27,D,2755,045027,045027,1,9
3.67742,7.90698,524,524,1,0,45,28,D,2756,045028,045028,1,9
3.58803,7.78452,525,525,1,0,45,29,D,2757,045029,045029,1,9
3.50501,7.67126,526,526,1,0,45,30,D,2758,045030,045030,1,9
3.42826,7.56676,527,527,1,0,45,31,D,2759,045031,045031,1,9
3.35611,7.46912,528,528,1,0,45,32,D,2760,045032,045032,1,9
3.29036,7.38022,529,529,1,0,45,33,D,2761,045033,045033,1,9
3.22665,7.2943,530,530,1,0,45,34,D,2762,045034,045034,1,9
5.09703,9.93826,762,762,1,0,61,18,D,2994,061018,061018,1,9
4.89436,9.63686,763,763,1,0,61,19,D,2995,061019,061019,1,9
7.74491,14.25878,1002,1002,1,0,77,10,D,3234,077010,077010,1,9
7.26977,13.43508,1003,1003,1,0,77,11,D,3235,077011,077011,1,9
6.84788,12.71918,1004,1004,1,0,77,12,D,3236,077012,077012,1,9
6.47325,12.09713,1005,1005,1,0,77,13,D,3237,077013,077013,1,9
6.13738,11.55188,1006,1006,1,0,77,14,D,3238,077014,077014,1,9
5.83598,11.07248,1007,1007,1,0,77,15,D,3239,077015,077015,1,9
5.56414,10.6484,1008,1008,1,0,77,16,D,3240,077016,077016,1,9
5.31932,10.27308,1009,1009,1,0,77,17,D,3241,077017,077017,1,9
5.09607,9.93669,1010,1010,1,0,77,18,D,3242,077018,077018,1,9
2.72017,6.61963,47,47,1,0,4,47,D,5751,004047,004047,2,10
2.69882,6.59144,48,48,1,0,4,48,D,5752,004048,004048,2,10
3.67789,7.90757,276,276,1,0,20,28,D,5980,020028,020028,2,10
3.58842,7.78504,277,277,1,0,20,29,D,5981,020029,020029,2,10
3.50554,7.67191,278,278,1,0,20,30,D,5982,020030,020030,2,10
3.42821,7.56676,279,279,1,0,20,31,D,5983,020031,020031,2,10
3.35629,7.46932,280,280,1,0,20,32,D,5984,020032,020032,2,10
3.28952,7.37911,281,281,1,0,20,33,D,5985,020033,020033,2,10
3.22725,7.29513,282,282,1,0,20,34,D,5986,020034,020034,2,10
3.16904,7.21692,283,283,1,0,20,35,D,5987,020035,020035,2,10
3.11501,7.14448,284,284,1,0,20,36,D,5988,020036,020036,2,10
3.0645,7.07688,285,285,1,0,20,37,D,5989,020037,020037,2,10
3.0175,7.01407,286,286,1,0,20,38,D,5990,020038,020038,2,10
2.97367,6.95566,287,287,1,0,20,39,D,5991,020039,020039,2,10
3.87811,8.18402,522,522,1,0,36,26,D,6226,036026,036026,2,10
3.77338,8.0391,523,523,1,0,36,27,D,6227,036027,036027,2,10
3.67799,7.90764,524,524,1,0,36,28,D,6228,036028,036028,2,10
3.58803,7.78452,525,525,1,0,36,29,D,6229,036029,036029,2,10
3.5056,7.67191,526,526,1,0,36,30,D,6230,036030,036030,2,10
3.42767,7.5661,527,527,1,0,36,31,D,6231,036031,036031,2,10
3.35611,7.46912,528,528,1,0,36,32,D,6232,036032,036032,2,10
3.28886,7.37824,529,529,1,0,36,33,D,6233,036033,036033,2,10
3.22755,7.29556,530,530,1,0,36,34,D,6234,036034,036034,2,10
3.16928,7.2173,531,531,1,0,36,35,D,6235,036035,036035,2,10
3.11508,7.14451,532,532,1,0,36,36,D,6236,036036,036036,2,10
3.06357,7.07561,533,533,1,0,36,37,D,6237,036037,036037,2,10
3.01782,7.01455,534,534,1,0,36,38,D,6238,036038,036038,2,10
7.27013,13.43529,1003,1003,1,0,68,11,D,6707,068011,068011,2,10
6.47265,12.09568,1005,1005,1,0,68,13,D,6709,068013,068013,2,10
6.13738,11.55188,1006,1006,1,0,68,14,D,6710,068014,068014,2,10
5.83553,11.07218,1007,1007,1,0,68,15,D,6711,068015,068015,2,10
5.56414,10.6484,1008,1008,1,0,68,16,D,6712,068016,068016,2,10
5.31932,10.27303,1009,1009,1,0,68,17,D,6713,068017,068017,2,10
5.09607,9.93669,1010,1010,1,0,68,18,D,6714,068018,068018,2,10
4.8934,9.63538,1011,1011,1,0,68,19,D,6715,068019,068019,2,10
4.70892,9.36486,1012,1012,1,0,68,20,D,6716,068020,068020,2,10
2.66149,6.54228,1062,1062,1,0,68,70,D,6766,068070,068070,2,10
7.74459,14.25865,1250,1250,1,0,84,10,D,6954,084010,084010,2,10
3.77403,8.03996,27,27,1,0,11,27,D,9451,011027,011027,3,11
3.67783,7.9075,28,28,1,0,11,28,D,9452,011028,011028,3,11
3.58842,7.78504,29,29,1,0,11,29,D,9453,011029,011029,3,11
3.50545,7.67177,30,30,1,0,11,30,D,9454,011030,011030,3,11
3.42827,7.56683,31,31,1,0,11,31,D,9455,011031,011031,3,11
3.87785,8.18358,274,274,1,0,27,26,D,9698,027026,027026,3,11
3.77403,8.03996,275,275,1,0,27,27,D,9699,027027,027027,3,11
3.67783,7.9075,276,276,1,0,27,28,D,9700,027028,027028,3,11
3.58842,7.78504,277,277,1,0,27,29,D,9701,027029,027029,3,11
3.50545,7.67177,278,278,1,0,27,30,D,9702,027030,027030,3,11
3.42827,7.56683,279,279,1,0,27,31,D,9703,027031,027031,3,11
3.35638,7.46945,280,280,1,0,27,32,D,9704,027032,027032,3,11
3.28943,7.37898,281,281,1,0,27,33,D,9705,027033,027033,3,11
3.22731,7.2952,282,282,1,0,27,34,D,9706,027034,027034,3,11
3.16907,7.21698,283,283,1,0,27,35,D,9707,027035,027035,3,11
3.11486,7.14428,284,284,1,0,27,36,D,9708,027036,027036,3,11
3.06447,7.07683,285,285,1,0,27,37,D,9709,027037,027037,3,11
3.01744,7.014,286,286,1,0,27,38,D,9710,027038,027038,3,11
2.97367,6.95566,287,287,1,0,27,39,D,9711,027039,027039,3,11
2.93285,6.90135,288,288,1,0,27,40,D,9712,027040,027040,3,11
2.89497,6.851,289,289,1,0,27,41,D,9713,027041,027041,3,11
2.85975,6.80428,290,290,1,0,27,42,D,9714,027042,027042,3,11
3.87718,8.18263,522,522,1,0,43,26,D,9946,043026,043026,3,11
3.77395,8.03975,523,523,1,0,43,27,D,9947,043027,043027,3,11
3.67742,7.90698,524,524,1,0,43,28,D,9948,043028,043028,3,11
3.58953,7.7865,525,525,1,0,43,29,D,9949,043029,043029,3,11
3.50501,7.67126,526,526,1,0,43,30,D,9950,043030,043030,3,11
3.42917,7.56808,527,527,1,0,43,31,D,9951,043031,043031,3,11
3.35671,7.46979,528,528,1,0,43,32,D,9952,043032,043032,3,11
3.28946,7.37895,529,529,1,0,43,33,D,9953,043033,043033,3,11
3.22665,7.2943,530,530,1,0,43,34,D,9954,043034,043034,3,11
3.16928,7.21728,531,531,1,0,43,35,D,9955,043035,043035,3,11
3.11447,7.1438,532,532,1,0,43,36,D,9956,043036,043036,3,11
5.09703,9.9382,762,762,1,0,59,18,D,10186,059018,059018,3,11
4.89436,9.63686,763,763,1,0,59,19,D,10187,059019,059019,3,11
4.70892,9.36486,764,764,1,0,59,20,D,10188,059020,059020,3,11
7.74491,14.25878,1002,1002,1,0,75,10,D,10426,075010,075010,3,11
7.26874,13.43331,1003,1003,1,0,75,11,D,10427,075011,075011,3,11
6.84827,12.71938,1004,1004,1,0,75,12,D,10428,075012,075012,3,11
6.47224,12.09544,1005,1005,1,0,75,13,D,10429,075013,075013,3,11
6.13738,11.55188,1006,1006,1,0,75,14,D,10430,075014,075014,3,11
5.83598,11.07248,1007,1007,1,0,75,15,D,10431,075015,075015,3,11
5.56414,10.6484,1008,1008,1,0,75,16,D,10432,075016,075016,3,11
5.31884,10.27265,1009,1009,1,0,75,17,D,10433,075017,075017,3,11
5.09703,9.9382,1010,1010,1,0,75,18,D,10434,075018,075018,3,11
4.53992,9.11979,1013,1013,1,0,75,21,D,10437,075021,075021,3,11
4.3847,8.89691,1014,1014,1,0,75,22,D,10438,075022,075022,3,11
2.67874,6.56496,1289,1289,1,0,100,49,D,7241,100049,100049,3,11
2.66238,6.54349,1290,1290,1,0,100,50,D,7242,100050,100050,3,11
2.64625,6.52229,1291,1291,1,0,100,51,D,7243,100051,100051,3,11
3.50551,7.67184,278,278,1,0,18,30,D,13174,018030,018030,4,12
3.42827,7.56683,279,279,1,0,18,31,D,13175,018031,018031,4,12
3.35644,7.46952,280,280,1,0,18,32,D,13176,018032,018032,4,12
3.28943,7.37898,281,281,1,0,18,33,D,13177,018033,018033,4,12
3.22725,7.29513,282,282,1,0,18,34,D,13178,018034,018034,4,12
3.16913,7.21705,283,283,1,0,18,35,D,13179,018035,018035,4,12
3.11486,7.14428,284,284,1,0,18,36,D,13180,018036,018036,4,12
3.06441,7.07675,285,285,1,0,18,37,D,13181,018037,018037,4,12
3.01759,7.01419,286,286,1,0,18,38,D,13182,018038,018038,4,12
2.97367,6.95566,287,287,1,0,18,39,D,13183,018039,018039,4,12
2.93279,6.90128,288,288,1,0,18,40,D,13184,018040,018040,4,12
3.87867,8.18461,522,522,1,0,34,26,D,13418,034026,034026,4,12
3.77338,8.0391,523,523,1,0,34,27,D,13419,034027,034027,4,12
3.67742,7.90698,524,524,1,0,34,28,D,13420,034028,034028,4,12
3.58803,7.78452,525,525,1,0,34,29,D,13421,034029,034029,4,12
3.5056,7.67191,526,526,1,0,34,30,D,13422,034030,034030,4,12
3.42826,7.56676,527,527,1,0,34,31,D,13423,034031,034031,4,12
3.35611,7.46912,528,528,1,0,34,32,D,13424,034032,034032,4,12
3.28886,7.37824,529,529,1,0,34,33,D,13425,034033,034033,4,12
3.22755,7.29556,530,530,1,0,34,34,D,13426,034034,034034,4,12
3.16928,7.2173,531,531,1,0,34,35,D,13427,034035,034035,4,12
3.11598,7.14578,532,532,1,0,34,36,D,13428,034036,034036,4,12
3.06508,7.07759,533,533,1,0,34,37,D,13429,034037,034037,4,12
6.13638,11.550230000000001,1006,1006,1,0,66,14,D,13902,066014,066014,4,12
5.83553,11.07218,1007,1007,1,0,66,15,D,13903,066015,066015,4,12
5.56414,10.6484,1008,1008,1,0,66,16,D,13904,066016,066016,4,12
5.31834,10.27148,1009,1009,1,0,66,17,D,13905,066017,066017,4,12
5.09607,9.93669,1010,1010,1,0,66,18,D,13906,066018,066018,4,12
2.76809,6.68293,1037,1037,1,0,66,45,D,13933,066045,066045,4,12
8.28216,15.21134,1249,1249,1,0,82,9,D,14145,082009,082009,4,12
7.74491,14.25878,1250,1250,1,0,82,10,D,14146,082010,082010,4,12
7.27013,13.43529,1251,1251,1,0,82,11,D,14147,082011,082011,4,12
6.84827,12.71943,1252,1252,1,0,82,12,D,14148,082012,082012,4,12
3.87782,8.1835,274,274,1,0,25,26,D,16890,025026,025026,5,13
3.77394,8.03983,275,275,1,0,25,27,D,16891,025027,025027,5,13
3.67783,7.9075,276,276,1,0,25,28,D,16892,025028,025028,5,13
3.58842,7.78504,277,277,1,0,25,29,D,16893,025029,025029,5,13
3.50545,7.67177,278,278,1,0,25,30,D,16894,025030,025030,5,13
3.42827,7.56683,279,279,1,0,25,31,D,16895,025031,025031,5,13
3.35638,7.46945,280,280,1,0,25,32,D,16896,025032,025032,5,13
3.28952,7.37911,281,281,1,0,25,33,D,16897,025033,025033,5,13
3.22734,7.29526,282,282,1,0,25,34,D,16898,025034,025034,5,13
3.16904,7.21692,283,283,1,0,25,35,D,16899,025035,025035,5,13
3.11495,7.14441,284,284,1,0,25,36,D,16900,025036,025036,5,13
3.06447,7.07683,285,285,1,0,25,37,D,16901,025037,025037,5,13
3.0175,7.01407,286,286,1,0,25,38,D,16902,025038,025038,5,13
2.97367,6.95566,287,287,1,0,25,39,D,16903,025039,025039,5,13
2.93276,6.90123,288,288,1,0,25,40,D,16904,025040,025040,5,13
3.87718,8.18263,522,522,1,0,41,26,D,17138,041026,041026,5,13
3.77395,8.03975,523,523,1,0,41,27,D,17139,041027,041027,5,13
3.67799,7.9076,524,524,1,0,41,28,D,17140,041028,041028,5,13
3.58895,7.78582,525,525,1,0,41,29,D,17141,041029,041029,5,13
3.5056,7.67191,526,526,1,0,41,30,D,17142,041030,041030,5,13
3.42917,7.56808,527,527,1,0,41,31,D,17143,041031,041031,5,13
3.35671,7.46979,528,528,1,0,41,32,D,17144,041032,041032,5,13
3.28946,7.37895,529,529,1,0,41,33,D,17145,041033,041033,5,13
3.16838,7.21602,531,531,1,0,41,35,D,17147,041035,041035,5,13
3.11508,7.14451,532,532,1,0,41,36,D,17148,041036,041036,5,13
3.06446,7.07686,533,533,1,0,41,37,D,17149,041037,041037,5,13
4.8934,9.63538,763,763,1,0,57,19,D,17379,057019,057019,5,13
4.70892,9.36486,764,764,1,0,57,20,D,17380,057020,057020,5,13
4.53992,9.11979,765,765,1,0,57,21,D,17381,057021,057021,5,13
7.74459,14.25861,1002,1002,1,0,73,10,D,17618,073010,073010,5,13
7.26874,13.43331,1003,1003,1,0,73,11,D,17619,073011,073011,5,13
6.84725,12.71765,1004,1004,1,0,73,12,D,17620,073012,073012,5,13
6.47224,12.09544,1005,1005,1,0,73,13,D,17621,073013,073013,5,13
6.13738,11.55188,1006,1006,1,0,73,14,D,17622,073014,073014,5,13
5.83499,11.07087,1007,1007,1,0,73,15,D,17623,073015,073015,5,13
5.56368,10.648,1008,1008,1,0,73,16,D,17624,073016,073016,5,13
5.31932,10.27303,1009,1009,1,0,73,17,D,17625,073017,073017,5,13
5.09607,9.93669,1010,1010,1,0,73,18,D,17626,073018,073018,5,13
4.8934,9.63538,1011,1011,1,0,73,19,D,17627,073019,073019,5,13
4.70892,9.36486,1012,1012,1,0,73,20,D,17628,073020,073020,5,13
4.53992,9.11979,1013,1013,1,0,73,21,D,17629,073021,073021,5,13
