id,occurrence_med,occurrence_max,occurrence_min,WRSPR,WRS2_PR,Latitude,Longitude
72021,94.00000000000004,96,7,025036,026036,34.11872326,-94.3863196
72022,90,92,1,025036,026036,34.09816809,-94.3810413
164647,77,90,1,025036,026036,34.09761254,-94.3807635
191296,64,85,3,025036,026036,34.1366,-94.68233
198227,63,90,0,025036,026036,34.38871539,-94.6952206
204971,78,86,0,025036,026036,35.19426039,-94.2507661
71651,95.0000000000001,97,90,025036,026036,34.1475,-94.683056
71652,96,97,91,025036,026036,34.161944,-94.656944
71653,98,98,97,025036,026036,34.186944,-94.691667
71654,97,98,71,025036,026036,34.189167,-94.718611
71655,95,97,93,025036,026036,34.206389,-94.656111
71656,97,98,96,025036,026036,34.225833,-94.677222
71657,97,98,96,025036,026036,34.246944,-94.68
71658,96,97,94,025036,026036,34.262222,-94.683056
72124,81.00000000000001,82,77,025036,026036,35.2083,-94.2083
72195,91,94,1,025036,026036,34.09972,-94.38028
72196,91,94,0,025036,026036,34.134171,-94.391388
197601,92,94,2,025036,026036,35.0928,-94.4
197607,91,94,1,025036,026036,34.8542,-94.2542
251809,90,92,5,025036,026036,34.599297,-94.360695
71480,99,99,98,026035,026036,35.341431,-94.827117
71481,98,99,98,026035,026036,35.316169,-94.92435
197489,93,94,3,026035,026036,35.303501,-94.537697
20503,92,95,1,026036,026036,34.97670154,-95.3476266
21602,92,95,1,026036,026036,34.9767,-95.34763
21614,79,85,1,026036,026036,33.92564,-94.97337
23238,77,91,0,026036,026036,33.91221633,-95.54936002
36945,82,88,1,026036,026036,33.99149516,-95.256899
36951,93,94,2,026036,026036,34.2431577,-95.3882957
36958,89,93,7,026036,026036,34.5434342,-95.3094121
36964,90,93,1,026036,026036,34.63065628,-95.2991353
36966,94,95,1,026036,026036,34.76815588,-95.0677392
36970,92,95,3,026036,026036,34.82093188,-95.5677589
36973,94,95,1,026036,026036,34.8823213,-95.3363615
36976,94,95,1,026036,026036,34.9920424,-95.356363
36984,89,92,1,026036,026036,35.19287448,-94.616889
36985,92,95,1,026036,026036,35.2270415,-95.0977381
86695,91,94,1,026036,026036,34.63124,-95.2993
86696,93.00000000000004,94,60,026036,026036,34.63397,-95.3002
86697,97.99999999999994,99,13,026036,026036,34.012039,-95.383303
86698,99,99,98,026036,026036,34.043547,-95.401725
86699,98,99,98,026036,026036,34.074478,-95.406311
86704,91,94,1,026036,026036,34.63124,-95.2993
86705,93.00000000000004,94,60,026036,026036,34.63397,-95.3002
86706,92.00000000000004,94,1,026036,026036,34.63604,-95.3005
86709,98,99,97,026036,026036,34.656981,-95.389022
86710,98,99,96,026036,026036,34.679017,-95.335
86711,98,99,97,026036,026036,34.655997,-95.454025
142877,98,99,97,026036,026036,34.65,-95.37
142881,95.00000000000016,97,93,026036,026036,34.772,-95.069
142909,93.00000000000004,94,42,026036,026036,34.634,-95.301
142912,93,95,2,026036,026036,34.246,-95.387
142924,92,95,1,026036,026036,34.785,-95.076
142937,99,100,98,026036,026036,34.925,-94.77
144254,98,99,98,026036,026036,34.662,-95.389
164658,61,91,1,026036,026036,34.92509768,-95.5710938
164687,72,86,1,026036,026036,35.15343044,-94.5891111
164688,73,86,1,026036,026036,35.1537082,-94.5885556
164700,79,90,1,026036,026036,35.1750973,-95.0877382
164702,79,90,1,026036,026036,35.1753751,-95.0877382
164711,71,85,1,026036,026036,35.1770417,-94.9252317
164712,87,90,1,026036,026036,35.17731954,-95.0874604
164713,87,90,1,026036,026036,35.17787509,-95.0871826
164714,87,90,1,026036,026036,35.17843064,-95.0874604
164715,86,90,2,026036,026036,35.17954175,-95.0857936
164716,86,90,1,026036,026036,35.1798195,-95.0871826
164721,92.00000000000009,94,1,026036,026036,35.19620778,-94.6177224
164723,59,83,1,026036,026036,35.21315264,-94.8302283
164741,83,90,0,026036,026036,35.27620797,-95.1138496
164742,83,90,1,026036,026036,35.27620797,-95.1141274
164743,86,90,0,026036,026036,35.27648575,-95.1138496
164745,86,90,0,026036,026036,35.27731908,-95.1138496
164746,86,90,0,026036,026036,35.27759686,-95.1130162
164747,82,89,0,026036,026036,35.2778746,-95.1107939
164748,82,94,0,026036,026036,35.2781524,-95.1107939
164749,86,90,0,026036,026036,35.2781524,-95.1130162
164750,86,90,0,026036,026036,35.27843019,-95.1127384
164751,86,90,0,026036,026036,35.27843019,-95.1135718
189364,77,91,0,026036,026036,33.91221628,-95.54935998
191046,63,85,1,026036,026036,34.22702062,-95.49316527
191272,77,91,0,026036,026036,33.91222,-95.54936
191285,63,85,1,026036,026036,34.22702,-95.49317
198173,83,93,2,026036,026036,35.26231927,-95.2371891
198184,45,84,1,026036,026036,34.93759954,-94.715228
198191,72,80,0,026036,026036,35.02259814,-94.944401
198223,95,97,5,026036,026036,34.0084386,-95.3835684
198233,50,83,1,026036,026036,34.91870889,-95.5608155
251260,63,81,1,026036,026036,35.15981958,-94.9844004
251261,63,81,2,026036,026036,35.1606529,-94.984956
251262,63,81,2,026036,026036,35.1603751,-94.984956
251263,73,81,3,026036,026036,35.16231957,-94.9841226
71463,89,93,1,026036,026036,35.193536,-94.616222
71464,92.00000000000009,94,52,026036,026036,35.199681,-94.619847
71465,86.99999999999999,91,1,026036,026036,35.207589,-94.629594
71466,98,99,97,026036,026036,34.940133,-94.724117
71467,99,100,98,026036,026036,34.937569,-94.758336
71468,99,100,98,026036,026036,34.933825,-94.781606
71469,98,99,98,026036,026036,34.930513,-94.742789
71470,98,99,96,026036,026036,34.946338,-94.730368
71471,91,94,4,026036,026036,34.783669,-94.693889
71472,94,97,5,026036,026036,34.781753,-94.696917
71473,93,96,1,026036,026036,34.779786,-94.697917
71474,94,95,1,026036,026036,34.881656,-95.336564
71475,95,96,3,026036,026036,34.876486,-95.337886
71476,94,95,2,026036,026036,34.875664,-95.343292
71477,94.00000000000004,96,1,026036,026036,34.993027,-95.356202
71478,94,95,1,026036,026036,34.998718,-95.357397
71491,92,95,1,026036,026036,35.226619,-95.096739
71492,94,96,92,026036,026036,35.231144,-95.088494
71493,88.99999999999999,95,1,026036,026036,35.233947,-95.081342
71495,98,99,97,026036,026036,35.307044,-95.43755
71496,97,98,96,026036,026036,35.306775,-95.362056
71646,95,97,1,026036,026036,34.113231,-95.078511
71647,95.00000000000009,97,48,026036,026036,34.108086,-95.100736
71648,96.00000000000004,97,64,026036,026036,34.136406,-95.083153
71649,95.00000000000004,98,4,026036,026036,34.16255,-95.11005
71650,95.00000000000011,96,24,026036,026036,34.18341,-95.108992
71659,90,92,1,026036,026036,33.991769,-95.259231
71660,90,92,1,026036,026036,33.999692,-95.263342
71661,89,92,1,026036,026036,34.015433,-95.260297
71662,97.99999999999994,99,13,026036,026036,34.012039,-95.383303
71663,99,99,98,026036,026036,34.043547,-95.401725
71664,98,99,98,026036,026036,34.074478,-95.406311
71665,99,99,98,026036,026036,34.084953,-95.431139
71666,99,99,98,026036,026036,34.096556,-95.424531
71667,93,95,2,026036,026036,34.243917,-95.388631
71668,92.99999999999996,95,2,026036,026036,34.246222,-95.387464
71669,78,95,1,026036,026036,34.248381,-95.386586
71670,90,93,7,026036,026036,34.54279,-95.30897
71671,90,95,2,026036,026036,34.53726,-95.30805
71672,92,95,4,026036,026036,34.54136,-95.31193
71673,94,95,1,026036,026036,34.767789,-95.068258
71674,95.00000000000011,97,75,026036,026036,34.772489,-95.068711
71675,92.99999999999996,96,1,026036,026036,34.776803,-95.067639
71676,98,99,97,026036,026036,34.632086,-95.350847
71677,98,99,97,026036,026036,34.656472,-95.454328
71678,98,99,97,026036,026036,34.677492,-95.3738
71679,98,99,96,026036,026036,34.679075,-95.334831
71680,98,99,97,026036,026036,34.656814,-95.388769
19180,77,82,2,026036,026036,33.885361177,-94.9395245607
19605,92,96,2,026036,026036,34.9019537004,-94.7657017882
19624,90.99999999999996,94,1,026036,026036,34.8862296993,-95.1632214063
20492,98,99,70,027035,026036,35.41220255,-95.92927589
36992,92,97,1,027035,026036,35.40398824,-95.5719275
36993,98,98,1,027035,026036,35.4181583,-95.921108
142897,98,99,1,027035,026036,35.407,-95.931
71494,98,99,98,027035,026036,35.284831,-95.514717
71497,99,99,99,027035,026036,35.225264,-95.596286
71499,99,99,98,027035,026036,35.228856,-95.6338
71500,97,98,97,027035,026036,35.233919,-95.49991
71511,99,99,98,027035,026036,35.200469,-95.593789
71512,99,100,98,027035,026036,35.164397,-95.599461
71696,99,99,99,027035,026036,35.382211,-95.629992
71697,99,99,99,027035,026036,35.300447,-95.553956
71729,99,99,98,027035,026036,35.4615,-95.60973
71730,99,99,98,027035,026036,35.427667,-95.600147
71731,98,99,1,027035,026036,35.417047,-95.922617
71732,98,98,70,027035,026036,35.412942,-95.927867
71733,97.00000000000004,98,5,027035,026036,35.398314,-95.934072
21613,71,80,0,027036,026036,34.17158,-96.06914
36975,92,94,8,027036,026036,34.99065134,-95.793326
36978,98,98,0,027036,026036,35.01815135,-95.8033267
86712,91,93,3,027036,026036,34.97774,-95.7935
86713,84.99999999999999,90,2,027036,026036,34.97521,-95.7885
86714,83.00000000000001,91,5,027036,026036,34.97465,-95.7981
86715,92,95,8,027036,026036,34.99023,-95.7934
86716,94,95,77,027036,026036,34.98602,-95.7858
86717,94.00000000000004,96,51,027036,026036,34.98459,-95.794
142905,99,99,1,027036,026036,35.031,-95.83
198149,78,89,7,027036,026036,34.83981805,-95.8641594
198217,90,94,6,027036,026036,34.3150969,-95.8752598
198239,96,99,1,027036,026036,34.96731935,-95.6235966
198241,98.00000000000009,99,0,027036,026036,35.01287464,-95.6483204
198243,98.99999999999994,99,8,027036,026036,35.0170415,-95.5963737
198245,99,99,80,027036,026036,35.02398594,-95.6097076
198246,99,99,82,027036,026036,35.02537487,-95.5980405
198249,99,99,98,027036,026036,35.0456526,-95.6577654
71501,98,98,0,027036,026036,35.018469,-95.804356
71502,99,99,98,027036,026036,35.029989,-95.820964
71503,94,97,90,027036,026036,35.031711,-95.850161
71504,92,95,8,027036,026036,34.990225,-95.793439
71505,94,95,77,027036,026036,34.986017,-95.785778
71506,91,93,3,027036,026036,34.977739,-95.793492
71507,84.99999999999999,90,2,027036,026036,34.975206,-95.788492
71508,97,98,2,027036,026036,34.83542,-95.85896
71509,98,99,1,027036,026036,34.83072,-95.86696
71510,98,98,7,027036,026036,34.83166,-95.87748
71513,99,99,98,027036,026036,35.101444,-95.647236
71514,99,99,98,027036,026036,35.050036,-95.671122
71515,99,99,98,027036,026036,35.019964,-95.602278
71516,98,99,96,027036,026036,34.974711,-95.630314
71686,89,91,0,027036,026036,34.313364,-95.874431
71687,92.00000000000009,93,16,027036,026036,34.359761,-95.870411
71688,88.99999999999997,91,0,027036,026036,34.332319,-95.913739
71689,91.00000000000004,92,8,027036,026036,34.375575,-95.900186
71690,92,95,3,027036,026036,34.325118,-95.881543
71691,99,99,3,027036,026036,34.446236,-96.087172
71692,99,99,98,027036,026036,34.479039,-96.090781
71693,99,99,97,027036,026036,34.505228,-96.075431
71694,96.99999999999996,98,50,027036,026036,34.540172,-96.046244
71695,70.00000000000004,81,63,027036,026036,34.555869,-96.034128
